From,To
 P04792,A0A024RCP2
 P10809,A0A024RCP2
 O60333-2,A0A024RCP2
 O14901,A0A024RCP2
 P16284,A0A024RCP2
 O60260-5,A0A024RCP2
 P60891,A0A024RCP2
 Q9Y3C5,A0A024RCP2
 P49591,A0A024RCP2
 P61086,A0A024RCP2
 P08670,A0A024RCP2
 O76024,A0A024RCP2
A0A087WZT3,Q6UY14-3
 Q3KP44,A0A087WZT3
 Q13490,A0A087WZT3
 Q96CA5,A0A087WZT3
 Q5SWW7,A0A087WZT3
 Q6P1W5,A0A087WZT3
 Q96M89-2,A0A087WZT3
 Q9UFW8,A0A087WZT3
 O76003,A0A087WZT3
 Q7Z353,A0A087WZT3
 Q02535,A0A087WZT3
 Q8IYA8,A0A087WZT3
 Q14005-2,A0A087WZT3
 Q8WWY6,A0A087WZT3
 Q6FHY5,A0A087WZT3
 Q13875-3,A0A087WZT3
 Q96HA8,A0A087WZT3
 P61018,A0A087WZT3
 Q9UGC6,A0A087WZT3
 O94991,A0A087WZT3
 P04183,A0A087WZT3
 Q6F5E7,A0A087WZT3
 P98170,A0A087WZT3
 Q8TF47,A0A087WZT3
 Q13360-2,A0A087WZT3
 Q8NB15,A0A087WZT3
 Q9P0T4,A0A087WZT3
 Q6ZNG0,A0A087WZT3
 P0C7X2,A0A087WZT3
 P36508,A0A087WZT3
 Q6NX45,A0A087WZT3
A0A0B4J2F0,Q96S66
A0A0B4J2F2,Q9BRT9
 Q68G74,A0A0B4J2F2
 Q14696,A0A0B4J2F2
 P78337,A0A0B4J2F2
 Q9NRG1,A0A0B4J2F2
 P62072,A0A0B4J2F2
A0A0C3SFZ9,Q13895
 Q8IYE1,A0A0C3SFZ9
 P68400,A0A0C3SFZ9
 Q2TBE0,A0A0C3SFZ9
 P26196,A0A0C3SFZ9
 Q14241,A0A0C3SFZ9
 Q9NQT4,A0A0C3SFZ9
 Q9UJT9,A0A0C3SFZ9
 Q14451-3,A0A0C3SFZ9
 Q96NT3-2,A0A0C3SFZ9
 Q92993,A0A0C3SFZ9
 Q5T749,A0A0C3SFZ9
 P60370,A0A0C3SFZ9
 Q52LG2,A0A0C3SFZ9
 Q3LI77,A0A0C3SFZ9
 Q3LI76,A0A0C3SFZ9
 Q9BQ66,A0A0C3SFZ9
 Q3LI64,A0A0C3SFZ9
 Q8TCE9,A0A0C3SFZ9
 Q8N8X9,A0A0C3SFZ9
 A0A0S2Z4E4,A0A0C3SFZ9
 Q9BSM1,A0A0C3SFZ9
 Q8N4B1-4,A0A0C3SFZ9
 Q53GA4,A0A0C3SFZ9
 Q9NRQ2,A0A0C3SFZ9
 O43395,A0A0C3SFZ9
 P41219,A0A0C3SFZ9
 Q9H788,A0A0C3SFZ9
 Q96C24,A0A0C3SFZ9
 Q15560,A0A0C3SFZ9
 Q8N8B7-2,A0A0C3SFZ9
 P01137,A0A0C3SFZ9
 Q8IWZ5,A0A0C3SFZ9
 O14817,A0A0C3SFZ9
 O43167,A0A0C3SFZ9
 A0A0S2Z5X4,A0A0C3SFZ9
 Q96EJ4,A0A0C3SFZ9
A0A0C4DGF1,Q49AR9
 P54253,A0A0C4DGF1
 P0C7T5,A0A0C4DGF1
 P51451,A0A0C4DGF1
 Q8N9W6-4,A0A0C4DGF1
 Q9UQM7,A0A0C4DGF1
 Q13554-3,A0A0C4DGF1
 Q68D86,A0A0C4DGF1
 P55273,A0A0C4DGF1
 O75553,A0A0C4DGF1
 Q15038,A0A0C4DGF1
 A0A024R8L2,A0A0C4DGF1
 P52597,A0A0C4DGF1
 Q3LI76,A0A0C4DGF1
 Q3LI72,A0A0C4DGF1
 Q3LI64,A0A0C4DGF1
 Q3LI66,A0A0C4DGF1
 Q8IUC2,A0A0C4DGF1
 Q9BRT3,A0A0C4DGF1
 Q9UH92,A0A0C4DGF1
 Q8TDS5,A0A0C4DGF1
 Q9HBE1-4,A0A0C4DGF1
 P78337,A0A0C4DGF1
 P86480,A0A0C4DGF1
 P20618,A0A0C4DGF1
 Q93062,A0A0C4DGF1
 Q93062-3,A0A0C4DGF1
 Q6ZRY4,A0A0C4DGF1
 Q9BQY4,A0A0C4DGF1
 Q9H0F6-2,A0A0C4DGF1
 Q99932-2,A0A0C4DGF1
 Q96LM6,A0A0C4DGF1
 Q7Z6R9,A0A0C4DGF1
 O43711,A0A0C4DGF1
 O14787-2,A0A0C4DGF1
 O95231,A0A0C4DGF1
 Q9NZC7-5,A0A0C4DGF1
 A0A0C4DGF1,A0A0C4DGF1
A0A0S2Z4G9,O43865
 Q8NA61-2,A0A0S2Z4G9
 Q2TAC2-2,A0A0S2Z4G9
 Q8NHQ1,A0A0S2Z4G9
 Q08379,A0A0S2Z4G9
 Q96ED9-2,A0A0S2Z4G9
 Q13422-7,A0A0S2Z4G9
 Q9UKT9,A0A0S2Z4G9
 Q2KHM9,A0A0S2Z4G9
 P19012,A0A0S2Z4G9
 Q6A162,A0A0S2Z4G9
 O95751,A0A0S2Z4G9
 Q9Y5V3,A0A0S2Z4G9
 Q99750,A0A0S2Z4G9
 Q6FHY5,A0A0S2Z4G9
 Q9UJV3-2,A0A0S2Z4G9
 Q8TD10,A0A0S2Z4G9
 Q5JR59-3,A0A0S2Z4G9
 Q9UL42,A0A0S2Z4G9
 Q04864-2,A0A0S2Z4G9
 Q6NUQ1,A0A0S2Z4G9
 Q96KN7-4,A0A0S2Z4G9
 O75558,A0A0S2Z4G9
 O75478,A0A0S2Z4G9
 P15884-3,A0A0S2Z4G9
 Q9UBB9,A0A0S2Z4G9
 Q63HR2,A0A0S2Z4G9
 P36406,A0A0S2Z4G9
 P14373,A0A0S2Z4G9
 O94972,A0A0S2Z4G9
 Q9BZW7,A0A0S2Z4G9
A0A0S2Z4M1,Q13137
 Q9H257-3,A0A0S2Z4M1
 Q2TAC2-2,A0A0S2Z4M1
 Q96GN5-2,A0A0S2Z4M1
 Q96C92-2,A0A0S2Z4M1
 P41212,A0A0S2Z4M1
 Q96IK5,A0A0S2Z4M1
 P14923,A0A0S2Z4M1
 Q9BQ66,A0A0S2Z4M1
 Q9BYR5,A0A0S2Z4M1
 Q68G74,A0A0S2Z4M1
 Q99750,A0A0S2Z4M1
 Q6FHY5,A0A0S2Z4M1
 Q9UJV3-2,A0A0S2Z4M1
 Q5JR59-3,A0A0S2Z4M1
 Q14596-2,A0A0S2Z4M1
 Q96KG9-4,A0A0S2Z4M1
 Q8IUQ4-2,A0A0S2Z4M1
 O75558,A0A0S2Z4M1
 P63165,A0A0S2Z4M1
 G2XKQ0,A0A0S2Z4M1
 Q9UBB9,A0A0S2Z4M1
 Q05BL1,A0A0S2Z4M1
 P14373,A0A0S2Z4M1
 O94972,A0A0S2Z4M1
 Q8IWZ5,A0A0S2Z4M1
 Q15654,A0A0S2Z4M1
 Q9BZW7,A0A0S2Z4M1
A0A0S2Z4Q4,Q6P1W5
 Q01850,A0A0S2Z4Q4
 Q96MW5,A0A0S2Z4Q4
 Q8WWB3,A0A0S2Z4Q4
 O00471,A0A0S2Z4Q4
 Q92567-2,A0A0S2Z4Q4
 Q08379,A0A0S2Z4Q4
 Q2KHM9,A0A0S2Z4Q4
 P13646,A0A0S2Z4Q4
 P05783,A0A0S2Z4Q4
 O76015,A0A0S2Z4Q4
 Q6PEX3,A0A0S2Z4Q4
 Q9Y5V3,A0A0S2Z4Q4
 Q8NDC0,A0A0S2Z4Q4
 O43513,A0A0S2Z4Q4
 A9UHW6-2,A0A0S2Z4Q4
 I6L9F6,A0A0S2Z4Q4
 Q13287,A0A0S2Z4Q4
 P37198,A0A0S2Z4Q4
 Q96M63,A0A0S2Z4Q4
 Q8ND90,A0A0S2Z4Q4
 Q9BYM8,A0A0S2Z4Q4
 Q8HWS3,A0A0S2Z4Q4
 Q6NUQ1,A0A0S2Z4Q4
 O75177,A0A0S2Z4Q4
 O75177-5,A0A0S2Z4Q4
 Q5VWN6,A0A0S2Z4Q4
 Q92734,A0A0S2Z4Q4
 Q08117-2,A0A0S2Z4Q4
 Q9BUZ4,A0A0S2Z4Q4
 P14373,A0A0S2Z4Q4
 Q86WT6-2,A0A0S2Z4Q4
 Q8N1B4,A0A0S2Z4Q4
A0A0S2Z4U3,O95994
 Q8TD06,A0A0S2Z4U3
 Q96FZ5,A0A0S2Z4U3
 P63252,A0A0S2Z4U3
 Q07627,A0A0S2Z4U3
 Q8IUG1,A0A0S2Z4U3
 Q9BYR9,A0A0S2Z4U3
 Q9BYR5,A0A0S2Z4U3
 Q6L8G8,A0A0S2Z4U3
 P26371,A0A0S2Z4U3
 Q9BYQ4,A0A0S2Z4U3
 Q9BYE3,A0A0S2Z4U3
 Q6ZSS7,A0A0S2Z4U3
 P26678,A0A0S2Z4U3
 P78382,A0A0S2Z4U3
 B2RUZ4,A0A0S2Z4U3
 Q9P0S9,A0A0S2Z4U3
 A2RU14,A0A0S2Z4U3
 O95183,A0A0S2Z4U3
 Q9BQB6,A0A0S2Z4U3
A0A0S2Z5X4,Q9NYB9-2
 Q7L4P6,A0A0S2Z5X4
 Q9H2G9,A0A0S2Z5X4
 A2RRN7,A0A0S2Z5X4
 Q13137,A0A0S2Z5X4
 Q9H257-2,A0A0S2Z5X4
 Q9H257-3,A0A0S2Z5X4
 Q8NA61-2,A0A0S2Z5X4
 Q2TAC2-2,A0A0S2Z5X4
 Q9C0F1,A0A0S2Z5X4
 Q8NHQ1,A0A0S2Z5X4
 Q9P209,A0A0S2Z5X4
 Q96KQ7,A0A0S2Z5X4
 A0A0C3SFZ9,A0A0S2Z5X4
 Q5TD97,A0A0S2Z5X4
 Q08379,A0A0S2Z5X4
 Q96D09,A0A0S2Z5X4
 Q6NT76,A0A0S2Z5X4
 P61978,A0A0S2Z5X4
 P61978-2,A0A0S2Z5X4
 Q8IYA8,A0A0S2Z5X4
 Q5VWX1,A0A0S2Z5X4
 O75525,A0A0S2Z5X4
 Q9BVG8-5,A0A0S2Z5X4
 P13646,A0A0S2Z5X4
 P19012,A0A0S2Z5X4
 Q15323,A0A0S2Z5X4
 Q6A162,A0A0S2Z5X4
 P60411,A0A0S2Z5X4
 P59991,A0A0S2Z5X4
 Q9BYR5,A0A0S2Z5X4
 O95751,A0A0S2Z5X4
 Q9Y5V3,A0A0S2Z5X4
 Q99750,A0A0S2Z5X4
 Q6FHY5,A0A0S2Z5X4
 Q9UJV3-2,A0A0S2Z5X4
 Q8TD10,A0A0S2Z5X4
 Q13064,A0A0S2Z5X4
 Q7Z3S9,A0A0S2Z5X4
 P61457,A0A0S2Z5X4
 O15162,A0A0S2Z5X4
 Q8ND90,A0A0S2Z5X4
 Q9UL42,A0A0S2Z5X4
 P25788,A0A0S2Z5X4
 O43586,A0A0S2Z5X4
 Q04864-2,A0A0S2Z5X4
 Q8HWS3,A0A0S2Z5X4
 Q6NUQ1,A0A0S2Z5X4
 Q96KN7-4,A0A0S2Z5X4
 Q96R06,A0A0S2Z5X4
 Q9Y2D8,A0A0S2Z5X4
 O75478,A0A0S2Z5X4
 P15884-3,A0A0S2Z5X4
 Q63HR2,A0A0S2Z5X4
 Q13077,A0A0S2Z5X4
 Q9BUZ4,A0A0S2Z5X4
 P36406,A0A0S2Z5X4
 P14373,A0A0S2Z5X4
 Q15654,A0A0S2Z5X4
 Q8N6Y0,A0A0S2Z5X4
 O00308,A0A0S2Z5X4
 Q9NQZ6,A0A0S2Z5X4
A0A0S2Z6H0,Q13155
 Q9Y2J4,A0A0S2Z6H0
 Q7L4P6,A0A0S2Z6H0
 Q9H2G9,A0A0S2Z6H0
 Q01850,A0A0S2Z6H0
 Q8NHQ1,A0A0S2Z6H0
 O43143,A0A0S2Z6H0
 Q08379,A0A0S2Z6H0
 Q9UKT9,A0A0S2Z6H0
 Q9BVG8-5,A0A0S2Z6H0
 Q9BRK4,A0A0S2Z6H0
 Q9UJV3-2,A0A0S2Z6H0
 Q9UBB9,A0A0S2Z6H0
 Q08117-2,A0A0S2Z6H0
 Q05BL1,A0A0S2Z6H0
 P14373,A0A0S2Z6H0
 Q96BR9,A0A0S2Z6H0
A0A0U1RRE5,Q9NPI6
 Q6P2E9,A0A0U1RRE5
A0A1B0GWI1,Q9Y2J4
 X5D778,A0A1B0GWI1
 P46379-2,A0A1B0GWI1
 Q969J3,A0A1B0GWI1
 O60941-5,A0A1B0GWI1
 O00303,A0A1B0GWI1
 P14136,A0A1B0GWI1
 O14964,A0A1B0GWI1
 P04792,A0A1B0GWI1
 Q96LB3-2,A0A1B0GWI1
 Q8WXH2,A0A1B0GWI1
 O60333-2,A0A1B0GWI1
 O14901,A0A1B0GWI1
 P35900,A0A1B0GWI1
 Q7Z3Y7,A0A1B0GWI1
 Q15323,A0A1B0GWI1
 O76011,A0A1B0GWI1
 Q92764,A0A1B0GWI1
 O76014,A0A1B0GWI1
 Q6A163,A0A1B0GWI1
 O14770,A0A1B0GWI1
 O14770-4,A0A1B0GWI1
 Q6FHY5,A0A1B0GWI1
 I6L9F6,A0A1B0GWI1
 P07196,A0A1B0GWI1
 Q9UBU9,A0A1B0GWI1
 Q92569,A0A1B0GWI1
 Q96KN3,A0A1B0GWI1
 Q96QF0-7,A0A1B0GWI1
 Q96BD8,A0A1B0GWI1
 O75971-2,A0A1B0GWI1
 O75558,A0A1B0GWI1
 Q6PIF2,A0A1B0GWI1
 Q9UBB9,A0A1B0GWI1
 P40222,A0A1B0GWI1
 Q8N3L3,A0A1B0GWI1
 Q9BZL1,A0A1B0GWI1
 Q8N6Y0,A0A1B0GWI1
 Q92558,A0A1B0GWI1
 O76024,A0A1B0GWI1
 Q8N5A5-2,A0A1B0GWI1
A0A1U9X8X8,Q12797-6
 P0C7T5,A0A1U9X8X8
 P46379-2,A0A1U9X8X8
 Q8N9N5-2,A0A1U9X8X8
 Q8TD31-3,A0A1U9X8X8
 P33240,A0A1U9X8X8
 Q9H0L4,A0A1U9X8X8
 Q9UI47-2,A0A1U9X8X8
 Q6ICB0,A0A1U9X8X8
 O00303,A0A1U9X8X8
 Q9H0I2,A0A1U9X8X8
 Q8IYI6,A0A1U9X8X8
 Q8IZU0,A0A1U9X8X8
 O14964,A0A1U9X8X8
 Q9UM19,A0A1U9X8X8
 Q6GPH6-2,A0A1U9X8X8
 Q9Y2W7,A0A1U9X8X8
 P80188,A0A1U9X8X8
 P62166,A0A1U9X8X8
 Q8IXH7,A0A1U9X8X8
 Q9HBI0,A0A1U9X8X8
 Q9BX97,A0A1U9X8X8
 O43741,A0A1U9X8X8
 O43765,A0A1U9X8X8
 Q96EQ0,A0A1U9X8X8
 Q96GM5,A0A1U9X8X8
 Q96PF1,A0A1U9X8X8
 Q86WT6-2,A0A1U9X8X8
 Q9BZW7,A0A1U9X8X8
 Q9UMX0,A0A1U9X8X8
 Q9UHD9,A0A1U9X8X8
 P62760,A0A1U9X8X8
A0A384ME25,Q9H2G9
 Q01658,A0A384ME25
 Q96IK5,A0A384ME25
 Q08379,A0A384ME25
 P28799,A0A384ME25
 Q9Y5Q9,A0A384ME25
 P49639,A0A384ME25
 P04792,A0A384ME25
 O60333-2,A0A384ME25
 Q9BS75,A0A384ME25
 Q5T749,A0A384ME25
 Q8IUG1,A0A384ME25
 P60410,A0A384ME25
 Q8IUC3,A0A384ME25
 P50221,A0A384ME25
 Q8NDC4,A0A384ME25
 P26367,A0A384ME25
 Q9BYU1,A0A384ME25
 D3DTS7,A0A384ME25
 O76081-6,A0A384ME25
 Q9Y3C5,A0A384ME25
 Q13148,A0A384ME25
 Q96N21,A0A384ME25
 Q12933,A0A384ME25
 O76024,A0A384ME25
 Q8NF64-2,A0A384ME25
A0AV02,P26367
A0AV96,Q5SWW7
 Q6P1W5,A0AV96
 Q9UQM7,A0AV96
 Q8N6W0,A0AV96
 B7ZLH0,A0AV96
 P32243-2,A0AV96
 P57721-2,A0AV96
 Q9NZ81,A0AV96
 Q9NWB1-5,A0AV96
 Q66K41-2,A0AV96
A0AVG3,P11912
 Q9P003,A0AVG3
 P49447,A0AVG3
 P63167,A0AVG3
 Q15125,A0AVG3
 Q9GZR5,A0AVG3
 Q9NYP7,A0AVG3
 Q8TDT2,A0AVG3
 Q8N5M9,A0AVG3
 O95214,A0AVG3
 Q5SR56,A0AVG3
 Q9H6H4,A0AVG3
 Q86VR2,A0AVG3
 Q9BY50,A0AVG3
 Q3KNW5,A0AVG3
 Q9NQQ7-3,A0AVG3
 O95721,A0AVG3
 Q16623,A0AVG3
 Q96DZ7,A0AVG3
 Q8NBD8,A0AVG3
 Q9NW97,A0AVG3
 Q8N661,A0AVG3
 Q9Y320,A0AVG3
 Q9BSR8,A0AVG3
 Q96MV8,A0AVG3
A0AVI4,P04792
 P02766,A0AVI4
 O76024,A0AVI4
A0AVK6,P07550
 Q92870-2,A0AVK6
 P46379-2,A0AVK6
 P55212,A0AVK6
 O14645,A0AVK6
 Q96AV8,A0AVK6
 P22607,A0AVK6
 Q13643,A0AVK6
 Q14957,A0AVK6
 P06396,A0AVK6
 P01112,A0AVK6
 P42858,A0AVK6
 O14901,A0AVK6
 Q6FHY5,A0AVK6
 Q7Z412,A0AVK6
 P37840,A0AVK6
 Q9UNE7,A0AVK6
 Q12800,A0AVK6
 Q9UMX0,A0AVK6
 Q9Y649,A0AVK6
A0AVT1,Q6NT76
A0FGR8,Q9BSJ8
 A0FGR8,A0FGR8
 A0FGR9,A0FGR8
A0FGR9,Q9BSJ8
 A0FGR8,A0FGR9
A0JLT2,Q9NX70
 Q86UW9,A0JLT2
 P62993,A0JLT2
 P50747,A0JLT2
 Q63ZY3,A0JLT2
 Q92993,A0JLT2
 Q8TAP4-4,A0JLT2
 Q14511-2,A0JLT2
 P17252,A0JLT2
 Q0D2K3,A0JLT2
 Q15047-2,A0JLT2
 Q13148,A0JLT2
 P61981,A0JLT2
 P36508,A0JLT2
A0JP26,Q08AG9
 O95995,A0JP26
 Q9BYQ6,A0JP26
 Q9BYR2,A0JP26
 P26371,A0JP26
 Q9BYQ4,A0JP26
 Q8N5G2,A0JP26
 Q5T6S3,A0JP26
A0MZ66,P62508
 P05413,A0MZ66
 Q6PJR7,A0MZ66
 Q9Y5B8,A0MZ66
 P62508-3,A0MZ66
 Q9Y2D4,A0MZ66
 A0MZ66-4,A0MZ66
 Q15025,A0MZ66
 Q05BL1,A0MZ66
 Q9NP64,A0MZ66
 O75936,A0MZ66
 Q12800,A0MZ66
A0PJY2,A8MQ03
 Q5TD97,A0PJY2
 Q6A162,A0PJY2
 Q07627,A0PJY2
 P60410,A0PJY2
 Q99750,A0PJY2
A0PK00,P20292
 Q68DC2,A0PK00
 Q6Q788,A0PK00
 Q13520,A0PK00
 O94778,A0PK00
 O60238,A0PK00
 O95273,A0PK00
 P04233-2,A0PK00
 P21964,A0PK00
 Q7Z7G2,A0PK00
 Q96BA8,A0PK00
 Q15125,A0PK00
 Q9Y282,A0PK00
 O15552,A0PK00
 Q9Y680,A0PK00
 Q05329,A0PK00
 P08034,A0PK00
 Q5T7V8,A0PK00
 Q8TDT2,A0PK00
 Q9NZD1,A0PK00
 Q8TED1,A0PK00
 Q8NBQ5,A0PK00
 P38484,A0PK00
 P16871,A0PK00
 Q8N5M9,A0PK00
 Q9HDC5,A0PK00
 P48051,A0PK00
 O43300,A0PK00
 O14880,A0PK00
 Q9Y676,A0PK00
 P15941-11,A0PK00
 Q6IBW4-4,A0PK00
 Q9BRK0,A0PK00
 Q9H6H4,A0PK00
 Q86VR2,A0PK00
 Q6ZMZ0,A0PK00
 Q99942,A0PK00
 Q9NY72,A0PK00
 Q8IVP1,A0PK00
 Q14973,A0PK00
 Q3KNW5,A0PK00
 Q8NDX2-2,A0PK00
 P54219-3,A0PK00
 P43003,A0PK00
 P27105,A0PK00
 P32856-2,A0PK00
 Q96MV1,A0PK00
 Q8IV31,A0PK00
 Q96AN5,A0PK00
 Q9NUH8,A0PK00
 Q96HE8,A0PK00
 O15393-2,A0PK00
 Q9Y320,A0PK00
 Q96MV8,A0PK00
A0PK11,Q8N6S5
 O00501,A0PK11
 Q9UHP7-3,A0PK11
 Q8TBE3,A0PK11
 P26715,A0PK11
 Q8N386,A0PK11
 O14524-2,A0PK11
 Q9Y3P8,A0PK11
 Q8WWF3,A0PK11
 P27105,A0PK11
 Q8N6K0,A0PK11
 Q9H7M9,A0PK11
A1A4E9,Q9NYB9
 Q9P2A4,A1A4E9
 Q9Y2J4-4,A1A4E9
 Q96IX9,A1A4E9
 P48047,A1A4E9
 Q9UL45,A1A4E9
 Q9NX04,A1A4E9
 Q8TAB5,A1A4E9
 Q53TS8,A1A4E9
 Q8TD31-3,A1A4E9
 P24863,A1A4E9
 Q86XR8,A1A4E9
 Q8IYX8-2,A1A4E9
 O60573,A1A4E9
 Q9NQT4,A1A4E9
 O95363,A1A4E9
 Q8TES7-6,A1A4E9
 P14136,A1A4E9
 Q0D2H9,A1A4E9
 Q8IY31,A1A4E9
 Q6P597,A1A4E9
 Q9NSK0,A1A4E9
 P35908,A1A4E9
 P35900,A1A4E9
 P19013,A1A4E9
 P02538,A1A4E9
 P04259,A1A4E9
 P48668,A1A4E9
 Q3SY84,A1A4E9
 Q5XKE5,A1A4E9
 P05787,A1A4E9
 P05787-2,A1A4E9
 Q9Y333,A1A4E9
 P00540,A1A4E9
 P12882,A1A4E9
 Q6NYC8,A1A4E9
 P20618,A1A4E9
 P49721,A1A4E9
 Q17RB0,A1A4E9
 Q96ES7,A1A4E9
 Q08117,A1A4E9
 Q0P5Q0,A1A4E9
 Q8IWZ5,A1A4E9
 Q99816,A1A4E9
 P40222,A1A4E9
A1A4S6,Q6P5Z2
A1A4Y4,Q96CV9
A1A5B4,Q12959
 Q9H8W4,A1A5B4
A1A5C7,P60410
 P26371,A1A5C7
 Q7Z3S9,A1A5C7
 Q08AM2,A1A5C7
 Q15848,A1A5C7
 P27352,A1A5C7
 Q9NWW5,A1A5C7
 O95406,A1A5C7
 Q7Z2K6,A1A5C7
 Q8IUG1,A1A5C7
 Q6FHY5,A1A5C7
 Q6UX06,A1A5C7
 P53801,A1A5C7
 O00526,A1A5C7
 Q14508,A1A5C7
A1E959,Q13444-2
 Q03989,A1E959
 O14964,A1E959
 Q71SY5,A1E959
 Q7Z3K3,A1E959
 O00560,A1E959
 P09234,A1E959
 Q8IWB4,A1E959
 O95231,A1E959
A1KXE4,P21549
 Q03989,A1KXE4
 O95817,A1KXE4
 Q9UQM7,A1KXE4
 O75909-2,A1KXE4
 P33240,A1KXE4
 Q9H0L4,A1KXE4
 Q9H6Z9,A1KXE4
 Q92567-2,A1KXE4
 Q8WU58,A1KXE4
 P22607,A1KXE4
 O75593,A1KXE4
 Q12951-2,A1KXE4
 Q9BZE0,A1KXE4
 Q13227,A1KXE4
 P17482,A1KXE4
 Q9ULV5-2,A1KXE4
 O14901,A1KXE4
 Q6PEX3,A1KXE4
 Q14847-2,A1KXE4
 Q71SY5,A1KXE4
 Q8IXL7-2,A1KXE4
 Q8TDC0,A1KXE4
 Q14511-2,A1KXE4
 Q9BVL2,A1KXE4
 P32242,A1KXE4
 Q9HBE1-4,A1KXE4
 P78337,A1KXE4
 Q7Z3K3,A1KXE4
 Q96HA1-2,A1KXE4
 Q7Z5V6-2,A1KXE4
 P0CG20,A1KXE4
 Q9BTL3,A1KXE4
 O43251-10,A1KXE4
